tsec,az_rad,el_rad
8590.0,0.19181718002543657,1.203086233279454
8600.0,0.4494434206316328,1.251548609245206
8610.0,0.7757151452596269,1.2745668240731647
8620.0,1.117454269637594,1.264811015777541
8630.0,1.406483306797048,1.2257321340496048
8640.0,1.6200070628443008,1.1677736699585506
8650.0,1.7713832053977423,1.1006504348993977
8660.0,1.879697153401714,1.03069970698827
8670.0,1.9593682445551739,0.9615596908012081
8680.0,2.0196830813687714,0.8952275570834568
8690.0,2.066696157746457,0.8326679913365496
8700.0,2.104184650697402,0.7743094143783448
8710.0,2.134645695119428,0.7201275145383076
8720.0,2.159959213088427,0.6700424811295146
8730.0,2.181230727755436,0.6238163870529767
8740.0,2.199411065183188,0.5810771753559079
8750.0,2.2150171959014475,0.5416259442411786
8760.0,2.228704990523802,0.5050200461335066
